# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.750000,0.182318,-0.000000,0.000000,0.091337,0.022922,-0.023580,-0.009096,0.004358,0.232662,-0.000000,0.000000,0.112309,0.024672,-0.032619,-0.009974,0.005135,0.181381,-0.000000,0.000000,0.090944,0.022887,-0.023411,-0.009074,0.004342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,0.457616,0.205363,-0.140398,-0.014589,-0.002735,0.021832,-0.003836,-0.000839,0.502235,0.081393,-0.338337,-0.097274,0.004780,0.072101,-0.022113,0.000691,0.456785,0.207652,-0.136820,-0.013253,-0.003130,0.020722,-0.003449,-0.000887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,0.489155,-0.001422,0.073837,-0.051839,-0.013383,0.008885,0.008624,-0.003561,-0.284981,-0.551533,0.230327,0.000995,0.058179,-0.003975,-0.034308,0.010516,0.497240,-0.006322,0.055737,-0.061369,-0.014626,0.013473,0.008151,-0.003598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,0.523964,0.043693,0.017649,-0.118121,-0.075207,0.002234,0.046287,-0.013416,-0.515902,0.060242,-0.110508,0.061055,0.032511,0.000875,-0.024327,0.007082,0.465193,0.022476,0.093450,-0.058517,-0.041192,-0.005326,0.031292,-0.008775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,0.007855,-0.626469,0.022882,-0.018814,0.120340,0.071217,-0.100694,0.023676,-0.445207,0.000506,-0.127292,0.032456,0.047254,0.023684,-0.041757,0.010395,0.461070,-0.003622,0.121583,-0.036430,-0.051284,-0.024143,0.043611,-0.010797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,-0.523832,0.044298,-0.053429,-0.016728,0.038186,0.026322,-0.032494,0.007338,-0.505176,-0.045350,-0.110987,0.024941,0.086060,0.054946,-0.070027,0.015911,0.464502,-0.020491,0.107920,-0.004521,-0.045110,-0.032746,0.040670,-0.009181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,-0.473912,0.031929,-0.071168,-0.017613,0.026528,0.026753,-0.023848,0.004668,-0.293401,0.519806,0.178473,0.026959,-0.091092,-0.093515,0.087357,-0.017711,0.481036,-0.027825,0.057370,0.022335,-0.025918,-0.025934,0.022887,-0.004460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,-0.492832,0.034302,0.011509,-0.036501,-0.009640,0.002537,0.013366,-0.004814,0.536995,0.095789,-0.180541,0.075075,-0.005509,-0.001309,0.003074,-0.001377,0.492213,-0.036408,-0.008859,0.035904,0.009871,-0.002558,-0.013616,0.004908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
