# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.400000,0.481998,-0.000000,-0.000000,0.050859,-0.021557,-0.026190,0.017337,-0.002413,0.581169,-0.000000,0.000000,-0.014857,-0.077626,-0.033690,0.061531,-0.016715,0.477982,-0.000000,-0.000000,0.053483,-0.019299,-0.025859,0.015599,-0.001859,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
1.400000,0.502994,-0.008321,-0.032019,0.043876,0.006524,-0.004660,-0.012078,0.004518,0.348104,-0.481911,-0.241890,0.019533,0.061378,0.048770,-0.032038,0.003195,0.509382,0.011344,-0.022986,0.044683,0.002625,-0.010182,-0.014696,0.006868,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
1.400000,0.505668,-0.009509,-0.084603,-0.066307,-0.057188,-0.008825,0.091405,-0.033829,-0.456547,-0.299362,0.414849,-0.009575,-0.081829,-0.088523,0.108933,-0.028715,0.519889,-0.069277,-0.154965,-0.023224,0.083509,0.071069,-0.104490,0.029498,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
1.400000,0.209060,-0.266939,0.168549,-0.091779,0.028273,0.000735,0.000458,-0.001003,-0.361755,0.209140,0.017245,-0.085533,0.037182,0.010761,-0.014928,0.003761,0.282674,-0.175096,-0.009763,0.069237,-0.021078,-0.005153,0.000671,0.000833,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
1.400000,0.019301,-0.048310,0.048838,-0.028774,0.002834,0.003122,0.002158,-0.001517,-0.141900,0.085820,-0.044872,0.020051,-0.003658,-0.003983,-0.002629,0.002342,0.113532,-0.060117,0.024448,-0.001041,0.000471,0.000491,0.000265,-0.000481,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000
